id,name,boss,parter,import,subcorp,invest,risk
2,三一集团有限公司,唐修国,"自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,黄建龙,毛中吾,袁金华,唐修国,易小刚,赵想章,王海燕,段大为,向文波,翟宪,梁林河,梁稳根,周福贵,翟纯,王佐春,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","梁林河,梁在中,梁稳根,袁金华,易小刚,周福贵,唐修国,唐修国,赵想章,向文波,王佐春,段大为,毛中吾,肖友良","三一集团有限公司湖南分公司,{{el.name}}{{el.name}},彭国成,{{el.oper_name}},0.000000,{{el.reg_capi}},2012-12-26,{{el.start_date}}",,
3,中联重科股份有限公司,詹纯新,"企业法人,其他投资者,企业法人,事业法人,企业法人,企业法人,企业法人,长沙高新技术产业开发区中标实有限公司,社会公众股,广州黄埔中联建设机械产业有限公司,建设部长沙建设机械研究院,北京中利四达科技开发有限公司,广州市天河区新怡通机械设备有限公司,北京瑞新建技术开发有限公司,2375.79 万人民币-,579748.8103 万人民币-,37.24 万人民币-,7475.25 万人民币-,37.24 万人民币-,37.24 万人民币-,37.24 万人民币-,2375.79 万人民币-,,37.24 万人民币-,7475.25 万人民币-,37.24 万人民币-,37.24 万人民币-,37.24 万人民币-","刘权,王志乐,刘驰,连维增,刘长琨,曹永刚,钱世政,罗安平,詹纯新,邱中伟","中联重科股份有限公司建筑起重机械分公司,中联重科股份有限公司沅江分公司,中联重科股份有限公司宁乡混凝土机械分公司,中联重科股份有限公司底盘分公司,中联重科股份有限公司常德汽车起重机分公司,{{el.name}}{{el.name}},黄群,宁勇群,陈晓非,罗凯,黄群,{{el.oper_name}},0.000000,0.000000,0.000000,0.000000,0.000000,{{el.reg_capi}},2004-05-13,2008-06-04,2013-06-17,2007-03-19,2007-11-08,{{el.start_date}}",,
4,蓝思科技股份有限公司,周群飞,"自然人股东,其他投资者,外国(地区)企业,企业法人,郑俊龙,社会公众股,蓝思科技（香港）有限公司,长沙群欣投资咨询股份有限公司,600 万人民币-,6736 万人民币-,54666 万人民币-,5334 万人民币-,--,,54666 万人民币-,5334 万人民币-","张亚斌,肖千峰,汤湘希,周群飞,周群飞,陈小群,饶育蕾,周新益,张韶华,郑俊龙,旷洪峰",,,
5,晟通科技集团有限公司,李瑞师,"企业法人,企业法人,湖南友元实业股份有限公司,湖南五强产业集团股份有限公司,60000 万人民币-,140000 万人民币-,60000 万人民币2013年1月18日,140000 万人民币2013年1月18日","黄敏,李瑞师,李航,邝定清,薛新明,周灿元,张云建,谭振明,龚浩","晟通科技集团有限公司铝型材分公司,晟通科技集团有限公司科研分公司,晟通科技集团有限公司销售分公司,晟通科技集团有限公司铝模分公司,晟通科技集团有限公司国际商务中心,{{el.name}}{{el.name}},龚浩,张云建,邓南方,周灿元,张云建,{{el.oper_name}},0.000000,0.000000,0.000000,0.000000,0.000000,{{el.reg_capi}},2010-04-15,2010-04-15,2010-04-15,2014-01-20,2012-03-12,{{el.start_date}}",,
6,湖南中烟工业有限责任公司长沙卷烟厂,刘军,,,,,
7,蓝思科技（长沙）有限公司,周群飞,"外商投资企业,外国(地区)企业,蓝思科技股份有限公司,蓝思国际（香港）有限公司,,,,","周群飞,旷洪峰,陈运华,郑俊龙",,,
8,湖南金龙国际铜业有限公司,毛炯明,"外国(地区)企业,自然人股东,企业法人,自然人股东,鹏力国际有限公司,杨杰辉,湖南金龙电缆有限公司,毛铁,,,,,,,,","戴静,杨杰辉,毛冰花,毛铁,毛炯明",,,
9,广汽三菱汽车有限公司,卢飒,"企业法人,外商投资企业,外商投资企业,广州汽车集团股份有限公司,三菱自动车工业株式会社,三菱商事株式会社,85000 万人民币-,56100 万人民币-,28900 万人民币-,85000 万人民币2012年5月31日,56100 万人民币-,28900 万人民币-","葛城慎辅,卢飒,野田浩,辻穰,冯兴亚,友纳文隆,叶珊瑚,张跃赛",,,
10,长沙新振升集团有限公司,段军如,"自然人股东,自然人股东,企业法人,企业法人,企业法人,企业法人,张俐,吴帆,湖南豫坤大有科技合伙企业(有限合伙),北京朗惠清和投资管理有限公司,长沙聚惠永泽投资合伙企业(有限合伙),深圳市谱安投资合伙企业（有限合伙）,,,,,,,,,,,,","陈云进,吴帆,付素纯,夏建国,程强,段军如,冷智勇",,,
11,长沙市比亚迪汽车有限公司,王传福,"企业法人,外商投资企业,比亚迪汽车销售有限公司,比亚迪汽车工业有限公司,12500 万人民币-,87500 万人民币-,12500 万人民币2009年9月25日,87500 万人民币2013年3月18日","王传福,柳相军,严琛,廉玉波,吴经胜","长沙市比亚迪汽车有限公司万家丽路销售分公司,{{el.name}}{{el.name}},王传福,{{el.oper_name}},0.000000,{{el.reg_capi}},2011-11-08,{{el.start_date}}",,
12,博世汽车部件(长沙)有限公司,王传福,"企业法人,外商投资企业,比亚迪汽车销售有限公司,比亚迪汽车工业有限公司,12500 万人民币-,87500 万人民币-,12500 万人民币2009年9月25日,87500 万人民币2013年3月18日","王传福,柳相军,严琛,廉玉波,吴经胜","长沙市比亚迪汽车有限公司万家丽路销售分公司,{{el.name}}{{el.name}},王传福,{{el.oper_name}},0.000000,{{el.reg_capi}},2011-11-08,{{el.start_date}}",,
13,远大空调有限公司,张跃,"自然人股东,企业法人,张跃,远大科技集团有限公司,2000 万人民币-,18000 万人民币-,2000 万人民币2003年1月10日,18000 万人民币2003年1月10日","周卓君,张跃","远大空调有限公司工程分公司,远大空调有限公司销售分公司,{{el.name}}{{el.name}},张跃,周华君,{{el.oper_name}},0.000000,0.000000,{{el.reg_capi}},1997-04-28,1997-04-28,{{el.start_date}}",,
14,湖南红太阳新能源科技有限公司,武祥,"企业法人,中电科电子装备有限公司,,","谢建国,孙勇,熊志刚,贾京英,苏荣标,武祥,吴英华,周大良,龚杰洪",,,
15,介面光电（湖南）有限公司,,,,,,
16,广汽菲亚特克莱斯勒汽车有限公司,冯兴亚,"企业法人,外国(地区)企业,外国(地区)企业,外国(地区)企业,广州汽车集团股份有限公司,菲亚特克莱斯勒意大利股份公司,菲亚特克莱斯勒汽车股份有限公司,菲亚特克莱斯勒亚太投资有限公司,,,,,,,,","陈道宏,Giovanni Bonadonna,Luca TOGNELLI,李灿辉,郑洁,吴松,黄向东,John Burton,Paul Francis Alcala,冯兴亚,王秋景,MICHAEL MARK MANLEY",,,
17,金杯电工股份有限公司,吴学愚,"企业法人,企业法人,企业法人,企业法人,企业法人,湖南湘能投资股份有限公司,湖南长利电工有限公司,湖南湘能电力股份有限公司,深圳市能翔投资发展有限公司,湖南闽能投资有限公司,,,,,,,,,,","孙文辉,娄国军,林旭,范志宏,杨黎明,吴学愚,刘利文,张贵华,唐崇健,周祖勤,陈海兵,潘四平,唐正国,刘纳新","金杯电工股份有限公司长沙分公司,{{el.name}}{{el.name}},孙文辉,{{el.oper_name}},0.000000,{{el.reg_capi}},2012-01-05,{{el.start_date}}",,
18,长沙远大住宅工业集团有限公司,张剑,"企业法人,自然人股东,企业法人,企业法人,自然人股东,企业法人,合伙企业,企业法人,企业法人,企业法人,企业法人,企业法人,合伙企业,企业法人,企业法人,上海瑞力新兴产业投资基金（有限合伙）,张剑,湖南大正投资股份有限公司,湖南湘锦圣投资有限公司,杨立新,长沙高新开发区大鑫投资管理合伙企业,上海永钧股权投资合伙企业（有限合伙）,上海欣际投资中心（有限合伙）,上海汉麟创业投资企业（有限合伙）,深圳市美投高新技术创业投资有限公司,湖南鼎信日新股权投资管理企业,上海龙腾八方企业发展有限公司,深圳远致富海股权投资企业（有限合伙）,湖南高新汇能创业投资企业,湖南远大铃木住房设备有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","鲍正熙,唐芬,谭新明,张克祥,张明鑫,姚子祥,张剑,黄玉敏,刘景,石东红",,,
19,山河智能装备股份有限公司,何清华,"自然人股东,自然人股东,自然人股东,自然人股东,自然人股东,企业法人,企业法人,自然人股东,自然人股东,企业法人,自然人股东,自然人股东,自然人股东,企业法人,自然人股东,自然人股东,自然人股东,自然人股东,赵宏强,陈欠根,朱建新,王家庆,徐小光,长沙高新技术创业投资管理有限公司,常德市雅特液压有限责任公司,郭勇,龚艳玲,长沙中南升华科技发展有限公司,邓伯禄,周宏兵,陈泽南,上海民晟企业发展有限公司,柏红专,龚进,谢习华,何清华,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","陈欠根,陈刚,王乐平,何毅,何清华,刘爱基,邓宇,唐红,李卫国,夏志宏",,,
