"","X","NEWS_SOURCE","TITLE","REPORT_TIME","side","score","author_new.NEWS_AUTHOR","news_seg"
"1",1,"三一集团有限公司","三一重工股份有限公司2007年度报告摘要","2008-04-25 03:00:00",0,NA,"和讯保险网","三一重工,股份,有限公司,2007,年度,报告,摘要"
"2",2,"三一集团有限公司","厦门厦工机械股份有限公司","2009-03-20 09:00:00",0,NA,"和讯黄金","厦门,厦工,机械,股份,有限公司"
"3",3,"三一集团有限公司","三一集团竞购沈机集团股权","2007-05-29 15:00:00",0,NA,"新浪财经","三一,集团,竞购,沈机,集团,股权"
"4",4,"三一集团有限公司","三一重工股份有限公司向特定对象发行股份购买资产暨关联交易预案","2008-10-10 00:00:00",0,NA,"中国证券网","三一重工,股份,有限公司,特定,对象,发行,股份,购买,资产,关联,交易,预案"
"5",5,"三一集团有限公司","湖南科力远新能源股份有限公司第三次董事会第七次会议决议公告","2008-09-26 02:00:00",0,NA,"和讯黄金","湖南,科力,远,新,能源,股份,有限公司,第三,董事会,第七,会议,决议,公告"
"6",6,"三一集团有限公司","三一重装或10月赴港上市","2009-05-13 11:00:00",0,NA,"腾讯财经","三一重装,10月,赴,港,上市"
"7",7,"三一集团有限公司","三一重工股份有限公司向梁稳根等10名自然人发行股份购买资产暨...","2010-02-03 03:00:00",0,NA,"腾讯财经","三一重工,股份,有限公司,梁稳根,10,自然人,发行,股份,购买,资产"
"8",8,"三一集团有限公司","三一重工股份有限公司公告(系列) - 证券时报多媒体数字报刊平台","2010-04-26 00:00:00",0,NA,"证券时报","三一重工,股份,有限公司,公告,系列,证券,时报,多媒体,数字,报刊,平台"
"9",9,"三一集团有限公司","三一重工股份有限公司关于向特定","2010-09-02 00:00:00",0,NA,"中国证券网","三一重工,股份,有限公司,特定"
"10",10,"三一集团有限公司","三一重装或10月赴港上市","2009-05-13 08:00:00",0,NA,"腾讯财经","三一重装,10月,赴,港,上市"
"11",11,"三一集团有限公司","湖南科力远新能源股份有限公司2009半年度报告摘要","2009-08-11 04:00:00",0,NA,"网易财经","湖南,科力,远,新,能源,股份,有限公司,2009,半,年度,报告,摘要"
"12",12,"三一集团有限公司","图文:三一重工股份有限公司副总裁段大为","2010-10-28 14:00:00",0,NA,"腾讯财经","图文,三一重工,股份,有限公司,副,总裁,段,大为"
"13",13,"三一集团有限公司","三一重工股份有限公司关于出售资产暨关联交易公告","2011-12-31 00:00:00",0,NA,"中国银河证券","三一重工,股份,有限公司,出售,资产,关联,交易,公告"
"14",14,"三一集团有限公司","湖南首富亲戚强入混凝土行业 三一重工暴力护短","2010-09-28 16:00:00",2,3,"新浪财经","湖南,首富,亲戚,强入,混凝土,行业,三一重工,暴力,护短"
"15",15,"三一集团有限公司","三一集团投100亿建产业园","2010-11-17 00:00:00",0,NA,"新快报","三一,集团,投,100亿,建,产业园"
"16",16,"三一集团有限公司","三一重工股份有限公司第四届董事会第七次会议决议公告暨召开2010...","2011-03-18 03:00:00",0,NA,"腾讯财经","三一重工,股份,有限公司,第四,董事会,第七,会议,决议,公告,召开,2010..."
"17",17,"三一集团有限公司","三一集团:“一手和平,一手战斗”","2012-11-02 13:00:00",0,NA,"凤凰网","三一,集团,一手,和平,战斗"
"18",18,"三一集团有限公司","三一重工股份有限公司第四届董事会第五次会议决议公告暨召开2010...","2010-11-09 02:17:00",0,NA,"网易财经","三一重工,股份,有限公司,第四,董事会,第五,会议,决议,公告,召开,2010..."
"19",19,"三一集团有限公司","常熟三一重工集团有限公司领导莅临我厂指导","2012-08-29 15:12:00",1,3,"中国建材网","熟,三一,重工,集团,有限公司,领导,莅临,我厂,指导"
"20",20,"三一集团有限公司","三一重工否认起诉奥巴马 实为集团关联公司","2012-10-06 04:00:00",0,NA,"腾讯财经","三一,重工,否认,起诉,奥巴马,实为,集团,关联,公司"
"21",21,"三一集团有限公司","厦门厦工机械股份有限公司2012年第三季度报告","2012-10-31 03:44:00",0,NA,"网易财经","厦门,厦工,机械,股份,有限公司,2012年,第三,季度,报告"
"22",22,"三一集团有限公司","三一重工股份有限公司2012年度股东大会会议资料","2013-06-22 00:00:00",0,NA,"中国银河证券","三一重工,股份,有限公司,2012,年度,股东,大会,会议,资料"
"23",23,"三一集团有限公司","三一重工股份有限公司第四届董事会第十五次会议决议公告","2011-12-31 07:00:00",0,NA,"全景网络","三一重工,股份,有限公司,第四,董事会,第十五,会议,决议,公告"
"24",24,"三一集团有限公司","三一重工股份有限公司跟踪评级报告","2011-11-24 10:00:00",0,NA,"和讯债券","三一重工,股份,有限公司,跟踪,评级,报告"
"25",25,"三一集团有限公司","梁稳根:三一重工股份有限公司经营情况非常好 不需要裁员","2012-11-10 20:00:00",0,NA,"华龙网","梁,稳根,三一重工,股份,有限公司,经营,情况,好,需要,裁员"
"26",26,"三一集团有限公司","三一重工股份有限公司2011年度报告摘要","2012-03-29 07:00:00",0,NA,"全景网络","三一重工,股份,有限公司,2011,年度,报告,摘要"
"27",27,"三一集团有限公司","三一重工股份有限公司2014年度股东大会议案","2015-05-23 00:00:00",0,NA,"中国银河证券","三一重工,股份,有限公司,2014,年度,股东,大会,议案"
"28",28,"三一集团有限公司","三一重工股份有限公司2012年度报告摘要","2013-04-27 05:05:00",0,NA,"证券时报","三一重工,股份,有限公司,2012,年度,报告,摘要"
"29",29,"三一集团有限公司","三一重工股份有限公司董事长梁稳根同志简介","2012-11-10 20:00:00",0,NA,"新华网","三一重工,股份,有限公司,董事长,梁稳根,同志,简介"
"30",30,"三一集团有限公司","中材集团董事长刘志江一队考察三一集团","2013-03-29 17:00:00",0,NA,"慧聪网","中材,集团,董事长,刘志江,一,考察,三一,集团"
"31",31,"三一集团有限公司","三一集团采购思迈奥METOR6S进口金属探测门","2013-05-09 08:00:00",0,NA,"慧聪网","三一,集团,采购,思迈奥,METOR6S,进口,金属,探测,门"
"32",32,"三一集团有限公司","图:三一重工股份有限公司董事长梁稳根在集体采访会上","2012-11-10 20:00:00",0,NA,"中国共产党新闻网","图,三一重工,股份,有限公司,董事长,梁,稳根,集体,采访会,上"
