"","V1","V2","V3"
"datain","三一集团有限公司","法人","2"
"","三一集团有限公司","股东","3"
"","三一集团有限公司","主要人员","4"
"","三一集团有限公司","分支机构","5"
"","三一集团有限公司","对外投资","6"
"","三一集团有限公司","法院信息","7"
"","法人","唐修国","21"
"","股东","黄建龙","31"
"","股东","毛中吾","31"
"","股东","袁金华","31"
"","股东","唐修国","31"
"","股东","易小刚","31"
"","股东","赵想章","31"
"","股东","王海燕","31"
"","股东","段大为","31"
"","股东","向文波","31"
"","股东","翟宪","31"
"","股东","梁林河","31"
"","股东","梁稳根","31"
"","股东","周福贵","31"
"","股东","翟纯","31"
"","股东","王佐春","31"
"","主要人员","梁林河","41"
"","主要人员","梁在中","41"
"","主要人员","梁稳根","41"
"","主要人员","袁金华","41"
"","主要人员","易小刚","41"
"","主要人员","周福贵","41"
"","主要人员","唐修国","41"
"","主要人员","赵想章","41"
"","主要人员","向文波","41"
"","主要人员","王佐春","41"
"","主要人员","段大为","41"
"","主要人员","毛中吾","41"
"","主要人员","肖友良","41"
"","分支机构","三一集团有限公司湖南分公司","51"
"","法院信息","15/07/01","61"
"","法院信息","14/09/29","61"
"","法院信息","14/09/10","61"
"","法院信息","14/08/05","61"
"","法院信息","14/06/18","61"
"","法院信息","14/05/13","61"
"","法院信息","14/01/23","61"
"","法院信息","13/12/02","61"
"","法院信息","13/11/22","61"
"","法院信息","风险信息","61"
"","法院信息","14/12/31","61"
"","法院信息","14/12/31","61"
"","对外投资","久隆财产保险有限公司","71"
"","对外投资","石河子市明照共赢创业投资合伙企业（有限合伙）","71"
"","对外投资","三一石油智能装备有限公司","71"
"","对外投资","沈阳三一创业投资管理有限公司","71"
"","对外投资","湖南三一电控科技有限公司","71"
"","对外投资","三一（珠海）投资有限公司","71"
"","对外投资","唐山唐湘机械设备有限公司","71"
"","对外投资","农银（湖南）壹号股权投资企业(有限合伙)","71"
"","对外投资","北京三一盛能投资有限公司","71"
"","对外投资","昆山三一数字科技有限公司在业","71"
"","对外投资","昆山三一动力有限公司在业","71"
"","对外投资","宁波甬湘重工机械有限公司","71"
"","对外投资","三一煤化工有限公司","71"
"","对外投资","重庆三一高智能机器人有限公司","71"
"","对外投资","三一矿机有限公司在业","71"
"","对外投资","上海泓铭港口机械有限公司","71"
"","对外投资","青岛锦航港口机械有限公司在营","71"
"","对外投资","湖南玖庭投资企业（有限合伙）","71"
"","对外投资","三一环保科技有限公司","71"
"","对外投资","三一汽车金融有限公司","71"
"","对外投资","浙江三一铸造有限公司","71"
"","对外投资","湖南中宏融资租赁有限公司","71"
"","对外投资","常德市三一机械有限公司","71"
"","对外投资","三一重型机器有限公司","71"
"","对外投资","韶山光大村镇银行股份有限公司","71"
"","对外投资","杭州力龙液压有限公司","71"
"","对外投资","湖南中车时代电动汽车股份有限公司","71"
"","对外投资","湖南紫竹源房地产有限公司","71"
"","对外投资","上海三一投资管理有限公司","71"
"","对外投资","上海竹胜园地产有限公司","71"
"","对外投资","慧峰信源科技（北京）有限公司","71"
"","对外投资","北京市三一通信科技有限公司","71"
"","对外投资","湖南新视讯科技有限公司","71"
"","对外投资","招远招金光电子科技有限公司在营","71"
"","对外投资","上海新利恒租赁有限公司","71"
"","对外投资","大同市诚信化工工程设计有限责任公司","71"
"","对外投资","湖南兴湘建设监理咨询有限公司","71"
"","对外投资","湖南泰尔制药股份有限公司","71"
"","对外投资","中国康富国际租赁股份有限公司","71"
"","对外投资","苏州钊德重工有限公司","71"
